Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
rna-XM_018317171.2	-	GH128(172-379)	-	-	N	1
rna-XM_018317172.2	-	AA3_2(23-640)	-	-	Y(1-19)	1
rna-XM_018317209.1	-	AA7(39-260)	-	-	N	1
rna-XM_018317221.2	-	GH20(101-450)	-	-	N	1
rna-XM_018317307.2	-	GH16_3(127-341)	-	-	N	1
rna-XM_018317312.2	-	GH35(51-381)	-	-	N	1
rna-XM_018317364.2	-	GT32(106-185)	-	-	N	1
rna-XM_018317382.2	-	GH177(7-289)	-	-	N	1
rna-XM_018317499.1	-	GH79(35-526)	-	-	Y(1-28)	1
rna-XM_018317512.1	-	GH2(46-941)	-	-	N	1
rna-XM_018317577.2	-	AA14(17-290)	-	-	Y(1-17)	1
rna-XM_018317735.1	-	GT2(253-541)	-	-	N	1
rna-XM_018317751.2	-	GT2(1054-1562)	-	-	N	1
rna-XM_018317752.1	-	GT2(1206-1713)	-	-	N	1
rna-XM_018317822.2	-	GH17(58-312)	-	-	Y(1-20)	1
rna-XM_018317899.2	-	GH92(206-706)	-	-	N	1
rna-XM_018317909.2	-	GT35(164-726)	-	-	N	1
rna-XM_018317917.1	-	GT33(50-464)	-	-	N	1
rna-XM_018317939.2	-	GH76(27-400)	-	-	N	1
rna-XM_018317988.2	-	GH2(42-667)	-	-	N	1
rna-XM_018317990.2	-	GH130_3(44-338)	-	-	N	1
rna-XM_018318047.2	-	AA12(32-426)	-	-	Y(1-24)	1
rna-XM_018318091.1	-	GH132(44-319)	-	-	Y(1-25)	1
rna-XM_018318104.2	-	GH5_31(50-329)	-	-	Y(1-19)	1
rna-XM_018318128.2	-	GT32(103-185)	-	-	N	1
rna-XM_018318192.1	-	GH76(34-388)	-	-	Y(1-26)	1
rna-XM_018318196.2	-	GH16_1(51-279)	-	-	N	1
rna-XM_018318202.2	-	AA3_2(35-647)	-	-	Y(1-20)	1
rna-XM_018318227.2	-	GH5_11(39-377)	-	-	Y(1-26)	1
rna-XM_018318337.1	-	GH18(20-357)	-	-	Y(1-18)	1
rna-XM_018318342.2	-	GT1(361-670)	-	-	N	1
rna-XM_018318361.2	-	GH28(40-346)	-	-	Y(1-17)	1
rna-XM_018318378.1	-	GT22(20-483)	-	-	N	1
rna-XM_018318418.2	-	GH47(103-565)	-	-	Y(1-36)	1
rna-XM_018318461.2	-	GT57(67-298)+GT57(339-572)	-	-	N	1
rna-XM_018318488.2	-	GH37(53-644)	-	-	Y(1-32)	1
rna-XM_018318490.2	-	GT17(71-358)	-	-	N	1
rna-XM_018318597.1	-	GH5_5(23-315)	-	-	Y(1-20)	1
rna-XM_018318604.2	-	AA7(49-264)	-	-	N	1
rna-XM_018318605.1	-	AA7(67-492)	-	-	Y(1-22)	1
rna-XM_018318610.2	-	GH142(27-505)+CBM13(678-813)	-	-	N	1
rna-XM_018318650.2	-	CE4(138-265)	-	-	N	1
rna-XM_018318689.2	-	GT1(155-454)	-	-	N	1
rna-XM_018318695.2	-	AA6(4-201)	-	-	N	1
rna-XM_018318709.2	-	GH13_25(171-318)+GH13_25(508-726)+GH133(1088-1547)	-	-	N	1
rna-XM_018318742.2	-	GH171(43-431)	-	-	N	1
rna-XM_018318759.2	-	GH105(48-369)	-	-	N	1
rna-XM_018318820.2	-	GH188(8-153)	-	-	N	1
rna-XM_018318845.2	-	GH36(42-738)	-	-	Y(1-26)	1
rna-XM_018318920.2	-	GT90(374-658)	-	-	N	1
rna-XM_018318928.2	-	GH184(47-171)	-	-	Y(1-21)	1
rna-XM_018318939.2	-	GH16_18(79-235)	-	-	Y(1-17)	1
rna-XM_018318972.1	-	GH30_3(60-475)	-	-	Y(1-24)	1
rna-XM_018318975.1	-	GH64(74-448)	-	-	Y(1-24)	1
rna-XM_018318992.2	-	GH43_11(4-295)+CBM91(322-539)	-	-	N	1
rna-XM_018318998.2	-	GH24(32-170)	-	-	Y(1-25)	1
rna-XM_018319041.2	-	GH47(219-979)	-	-	Y(1-30)	1
rna-XM_018319085.2	-	GT1(7-423)	-	-	N	1
rna-XM_018319130.2	-	GH43_26(10-302)	-	-	N	1
rna-XM_018319155.2	-	GH18(9-361)	-	-	N	1
rna-XM_018319263.2	-	GH5_12(15-548)	-	-	N	1
rna-XM_018319288.1	-	AA7(100-521)	-	-	Y(1-22)	1
rna-XM_018319413.2	-	GT48(857-1636)	-	-	N	1
rna-XM_018319415.2	-	GH17(207-454)	-	-	N	1
rna-XM_018319419.2	-	GT24(1166-1413)	-	-	Y(1-22)	1
rna-XM_018319501.2	-	GH3(107-328)	-	-	Y(1-25)	1
rna-XM_018319538.1	-	GH16_19(101-270)	-	-	Y(1-19)	1
rna-XM_018319546.2	-	GT15(120-423)	-	-	N	1
rna-XM_018319583.2	-	GH177(5-278)	-	-	N	1
rna-XM_018319610.2	-	GH1(5-477)	-	-	N	1
rna-XM_018319612.1	-	GH162(34-524)	-	-	Y(1-31)	1
rna-XM_018319818.2	-	GH125(74-503)	-	-	Y(1-18)	1
rna-XM_018319843.2	-	CE9(18-410)	-	-	N	1
rna-XM_018319844.2	-	GH3(82-307)	-	-	N	1
rna-XM_018319856.2	-	GH5_9(222-545)	-	-	N	1
rna-XM_018319882.2	-	GH115(20-630)	-	-	N	1
rna-XM_018319886.2	-	GH81(26-706)	-	-	N	1
rna-XM_018319942.2	-	GH49(31-606)	-	-	N	1
rna-XM_018319955.2	-	GH146(53-621)	-	-	Y(1-33)	1
rna-XM_018320002.2	-	GH27(122-399)	-	-	Y(1-25)	1
rna-XM_018320004.1	-	GH27(165-427)	-	-	Y(1-19)	1
rna-XM_018320007.2	-	AA1(117-599)	-	-	N	1
rna-XM_018320068.2	-	GH172(424-686)	-	-	N	1
rna-XM_018320084.2	-	GH16_3(77-346)	-	-	N	1
rna-XM_018320106.2	-	GH13_40(33-392)	-	-	N	1
rna-XM_018320117.2	-	GH55_2(30-757)	-	-	Y(1-24)	1
rna-XM_018320118.2	-	GH13_1(57-345)	-	-	Y(1-19)	1
rna-XM_018320129.2	-	GH1(161-617)	-	-	Y(1-19)	1
rna-XM_018320189.2	-	CE5(35-231)	-	-	Y(1-20)	1
rna-XM_018320191.2	-	AA7(113-566)	-	-	Y(1-26)	1
rna-XM_018320311.2	-	GH132(134-425)	-	-	Y(1-20)	1
rna-XM_018320406.1	-	GT2(551-1073)	-	-	N	1
rna-XM_018320424.1	-	AA2(92-342)	-	-	N	1
rna-XM_018320455.2	-	GT22(11-397)	-	-	N	1
rna-XM_018320609.2	-	GH15(290-667)	-	-	N	1
rna-XM_018320617.2	-	GH18(211-565)	-	-	Y(1-20)	1
rna-XM_018320666.2	-	GT2(138-410)	-	-	N	1
rna-XM_018320793.2	-	GH47(171-664)	-	-	N	1
rna-XM_018320798.2	-	GT39(59-303)	-	-	N	1
rna-XM_018320799.2	-	GT69(66-321)	-	-	N	1
rna-XM_018320802.2	-	CE3(42-234)	-	-	Y(1-25)	1
rna-XM_018320842.2	-	CE3(68-268)	-	-	Y(1-34)	1
rna-XM_018320892.2	-	GT34(66-292)	-	-	N	1
rna-XM_018320937.2	-	GT109(3-411)	-	-	N	1
rna-XM_018320983.2	-	GH47(116-587)	-	-	N	1
rna-XM_018321124.2	-	AA7(149-347)	-	-	Y(1-29)	1
rna-XM_018321126.2	-	GH92(253-761)	-	-	Y(1-25)	1
rna-XM_018321129.2	-	GH16_18(69-226)	-	-	Y(1-22)	1
rna-XM_018321169.2	-	AA12(37-436)	-	-	Y(1-22)	1
rna-XM_018321189.2	-	GH47(48-523)	-	-	Y(1-20)	1
rna-XM_018321280.2	-	GT32(102-179)	-	-	N	1
rna-XM_018321281.2	-	GH2(45-908)	-	-	N	1
rna-XM_018321325.2	-	GT15(47-359)	-	-	N	1
rna-XM_018321355.2	-	AA3(10-537)	-	-	N	1
rna-XM_018321381.2	-	CE5(79-250)	-	-	Y(1-20)	1
rna-XM_018321382.2	-	GT90(326-622)	-	-	N	1
rna-XM_018321387.2	-	GH3(68-290)	-	-	N	1
