HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH128.hmm	224	rna-XM_018317171.2	383	3e-58	8	224	172	379	0.964285714286
AA3_2.hmm	568	rna-XM_018317172.2	644	1.7e-97	2	567	23	640	0.994718309859
AA7.hmm	458	rna-XM_018317209.1	473	2e-78	6	220	39	260	0.467248908297
GH20.hmm	337	rna-XM_018317221.2	519	2.2e-112	14	336	101	450	0.955489614243
GH16_3.hmm	230	rna-XM_018317307.2	385	2.7e-38	1	211	127	341	0.913043478261
GH35.hmm	307	rna-XM_018317312.2	1012	1.6e-87	1	303	51	381	0.983713355049
GT32.hmm	90	rna-XM_018317364.2	327	4.6e-18	2	86	106	185	0.933333333333
GH177.hmm	347	rna-XM_018317382.2	364	6e-25	2	298	7	289	0.853025936599
GH79.hmm	455	rna-XM_018317499.1	552	3.4e-89	2	435	35	526	0.951648351648
GH2.hmm	752	rna-XM_018317512.1	1060	2.9e-213	27	751	46	941	0.962765957447
AA14.hmm	255	rna-XM_018317577.2	290	1.9e-95	1	253	17	290	0.988235294118
GT2.hmm	527	rna-XM_018317735.1	729	3.6e-23	204	500	253	541	0.561669829222
GT2.hmm	527	rna-XM_018317751.2	1785	1.1e-226	2	525	1054	1562	0.992409867173
GT2.hmm	527	rna-XM_018317752.1	1862	2.2e-249	2	527	1206	1713	0.996204933586
GH17.hmm	311	rna-XM_018317822.2	462	2.5e-16	27	310	58	312	0.909967845659
GH92.hmm	491	rna-XM_018317899.2	738	3.3e-152	3	491	206	706	0.993890020367
GT35.hmm	674	rna-XM_018317909.2	726	1.2e-222	2	521	164	726	0.770029673591
GT33.hmm	425	rna-XM_018317917.1	471	8.3e-144	2	424	50	464	0.992941176471
GH76.hmm	358	rna-XM_018317939.2	482	4.5e-95	10	351	27	400	0.95251396648
GH2.hmm	752	rna-XM_018317988.2	859	1.7e-77	65	492	42	667	0.567819148936
GH130_3.hmm	305	rna-XM_018317990.2	341	1.6e-107	3	304	44	338	0.986885245902
AA12.hmm	401	rna-XM_018318047.2	464	1.4e-149	8	400	32	426	0.977556109726
GH132.hmm	303	rna-XM_018318091.1	463	7.6e-77	31	302	44	319	0.894389438944
GH5_31.hmm	281	rna-XM_018318104.2	371	6.7e-51	2	278	50	329	0.982206405694
GT32.hmm	90	rna-XM_018318128.2	403	8.4e-20	8	88	103	185	0.888888888889
GH76.hmm	358	rna-XM_018318192.1	400	2.7e-87	20	335	34	388	0.879888268156
GH16_1.hmm	229	rna-XM_018318196.2	612	9.5e-81	9	228	51	279	0.956331877729
AA3_2.hmm	568	rna-XM_018318202.2	654	3.4e-104	2	568	35	647	0.996478873239
GH5_11.hmm	335	rna-XM_018318227.2	422	3.9e-143	1	335	39	377	0.997014925373
GH18.hmm	296	rna-XM_018318337.1	366	5.8e-54	4	288	20	357	0.959459459459
